what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1664979663932
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1664979667463
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1664979680326
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1664979681159
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1664979682586
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1664979684472
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1664979766204
executed,command,,,"com.altera.sbtgui.launch.modelsim.Nios2ModelsimLaunchShortcut.run",1664979766210
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1664979773785
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1664979774614
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1664979774952
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1664979852969
executed,command,,,"com.altera.sbtgui.launch.modelsim.Nios2ModelsimLaunchShortcut.run",1664979852974
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1664979856430
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1664979964400
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1664979976107
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1664980018390
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1664980026991
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1664980072544
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1664980076931
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1664980082168
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1664980087214
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1664980097290
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1664980107791
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1664980111709
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1664980114373
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1664980115895
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1664980115976
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1664980117592
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1664980118510
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1664980120441
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1664980122133
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1664980123654
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1664980127820
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1664980128374
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1664980131924
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1664980141244
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1664980142116
executed,command,,,"com.altera.sbtgui.launch.modelsim.Nios2ModelsimLaunchShortcut.run",1664980142329
error,log,,,"Failed Executing: make sim SPD=E:/SNios_new/HSys_tb.spd ELF=E:/SNios_new/software/teste1/teste1.elf ENABLE_VSIM_GUI=1 VSIM_DIR='C:/altera/13.0/modelsim_ae/win32aloem'  return code: 2",1664980150709
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1664980150755
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1664980168501
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1664980178414
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1664980213628
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1664980220375
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1664980220400
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1664980232573
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1664980251571
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1664980251576
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1664980265289
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1664980265296
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1664980769667
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1664980771411
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1664980773177
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1664980775412
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1664980777622
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1664980777682
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.0.0.156,"com.altera.debug.cdi.gdb.plugin",1664980777682
stopped,bundle,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch",1664980777683
stopped,bundle,com.altera.sbtgui.ui,13.0.0.156,"com.altera.sbtgui.ui",1664980777683
